customer_sk,customer_id,surname,credit_score,geography,gender,age,tenure,balance,num_of_products,has_cr_card,is_active_member,estimated_salary,churn_flag,Complain,Satisfaction Score,Card Type,Point Earned,age_group,credit_tier,tenure_band,high_value_flag,estimated_ltv,churn_label,balance_salary_ratio,product_engagement,risk_score,risk_category,effective_start_date,effective_end_date,is_current,record_version
1,15634602,Hargrave,619,France,Female,42,2,0.0,1,1,1,101348.88,1,1,2,DIAMOND,464,36-50,Fair,New (0-2 yrs),N,202.7,Churned,0.0,4,1,Low Risk,2026-04-19,9999-12-31,1,1
2,15647311,Hill,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,1,3,DIAMOND,456,36-50,Fair,New (0-2 yrs),N,1788.7,Active,0.7447,3,1,Low Risk,2026-04-19,9999-12-31,1,1
3,15619304,Onio,502,France,Female,42,8,159660.8,3,1,0,113931.57,1,1,3,DIAMOND,377,36-50,Poor,Mature (6-8 yrs),Y,4104.67,Churned,1.4014,4,7,Critical Risk,2026-04-19,9999-12-31,1,1
4,15701354,Boni,699,France,Female,39,1,0.0,2,0,0,93826.63,0,0,5,GOLD,350,36-50,Good,New (0-2 yrs),N,93.83,Active,0.0,2,4,Medium Risk,2026-04-19,9999-12-31,1,1
5,15737888,Mitchell,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,0,5,GOLD,425,36-50,Excellent,New (0-2 yrs),Y,2668.38,Active,1.5871,4,2,Low Risk,2026-04-19,9999-12-31,1,1
6,15574012,Chu,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,1,5,DIAMOND,484,36-50,Fair,Mature (6-8 yrs),Y,3473.17,Churned,0.7596,3,4,Medium Risk,2026-04-19,9999-12-31,1,1
7,15592531,Bartlett,822,France,Male,50,7,0.0,2,1,1,10062.8,0,0,2,SILVER,206,36-50,Excellent,Mature (6-8 yrs),N,70.44,Active,0.0,5,0,Low Risk,2026-04-19,9999-12-31,1,1
8,15656148,Obinna,432,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,1,2,DIAMOND,282,25-35,Poor,Growing (3-5 yrs),Y,2778.32,Churned,0.964,5,7,Critical Risk,2026-04-19,9999-12-31,1,1
9,15792365,He,501,France,Male,44,4,142051.07,2,0,1,74940.5,0,0,3,GOLD,251,36-50,Poor,Growing (3-5 yrs),Y,3140.78,Active,1.8955,4,1,Low Risk,2026-04-19,9999-12-31,1,1
10,15592389,H?,684,France,Male,27,2,134603.88,1,1,1,71725.73,0,0,3,GOLD,342,25-35,Good,New (0-2 yrs),Y,2835.53,Active,1.8766,4,2,Low Risk,2026-04-19,9999-12-31,1,1
11,15767821,Bearce,528,France,Male,31,6,102016.72,2,0,0,80181.12,0,0,3,GOLD,264,25-35,Poor,Mature (6-8 yrs),Y,2521.42,Active,1.2723,2,4,Medium Risk,2026-04-19,9999-12-31,1,1
